name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	reference	group	description	status	status_description	bb_method	bb_bandwidth
GA01	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
GA02	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
GA03	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
GA04	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
GA05	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
GA06	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
GA07	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
GA08	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
GA09	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
GA10	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
GA11	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
GA12	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
GA13	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
GA14	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
GA15	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
GA16	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
GA17	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
GA18	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
GA19	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
GA20	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
GA21	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
GA22	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
GA23	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
GA24	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
GA25	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
GA26	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
GA27	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
GA28	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
GA29	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
GA30	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
GA31	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
GA32	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
GA33	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
