onset	duration	ISI	trial_type	trial_name	stim_file	stim_file_index	event_sample	task_name
12.024	0.1330	0.1330	128	TWOPULSE-4	n/a	29	n/a	temporalpattern
13.325	0.1330	0.0170	125	TWOPULSE-1	n/a	19	n/a	temporalpattern
15.044	0.1330	0.0670	127	TWOPULSE-3	n/a	25	n/a	temporalpattern
16.642	0.1330	0.0000	122	ONEPULSE-4	n/a	11	n/a	temporalpattern
18.075	0.2670	0.0000	123	ONEPULSE-5	n/a	13	n/a	temporalpattern
19.392	0.1330	0.0670	127	TWOPULSE-3	n/a	26	n/a	temporalpattern
20.809	0.1330	0.2670	129	TWOPULSE-5	n/a	32	n/a	temporalpattern
22.559	0.1330	0.0330	126	TWOPULSE-2	n/a	22	n/a	temporalpattern
23.859	0.0170	0.0000	119	ONEPULSE-1	n/a	2	n/a	temporalpattern
25.543	0.5330	0.0000	124	ONEPULSE-6	n/a	17	n/a	temporalpattern
26.909	0.1330	0.0000	122	ONEPULSE-4	n/a	12	n/a	temporalpattern
28.543	0.1330	0.0330	126	TWOPULSE-2	n/a	23	n/a	temporalpattern
30.056	0.5330	0.0000	124	ONEPULSE-6	n/a	18	n/a	temporalpattern
31.623	0.1330	0.0170	125	TWOPULSE-1	n/a	20	n/a	temporalpattern
33.110	0.2670	0.0000	123	ONEPULSE-5	n/a	15	n/a	temporalpattern
34.493	0.0330	0.0000	120	ONEPULSE-2	n/a	6	n/a	temporalpattern
35.894	0.1330	0.5330	130	TWOPULSE-6	n/a	35	n/a	temporalpattern
37.594	0.1330	0.5330	130	TWOPULSE-6	n/a	34	n/a	temporalpattern
39.077	0.0670	0.0000	121	ONEPULSE-3	n/a	7	n/a	temporalpattern
40.661	0.1330	0.0670	127	TWOPULSE-3	n/a	27	n/a	temporalpattern
41.927	0.0670	0.0000	121	ONEPULSE-3	n/a	9	n/a	temporalpattern
43.444	0.1330	0.2670	129	TWOPULSE-5	n/a	33	n/a	temporalpattern
45.095	0.5330	0.0000	124	ONEPULSE-6	n/a	16	n/a	temporalpattern
46.428	0.1330	0.0000	122	ONEPULSE-4	n/a	10	n/a	temporalpattern
48.096	0.1330	0.1330	128	TWOPULSE-4	n/a	30	n/a	temporalpattern
49.642	0.0670	0.0000	121	ONEPULSE-3	n/a	8	n/a	temporalpattern
51.345	0.0170	0.0000	119	ONEPULSE-1	n/a	1	n/a	temporalpattern
52.962	0.1330	0.2670	129	TWOPULSE-5	n/a	31	n/a	temporalpattern
54.695	0.0170	0.0000	119	ONEPULSE-1	n/a	3	n/a	temporalpattern
56.246	0.2670	0.0000	123	ONEPULSE-5	n/a	14	n/a	temporalpattern
57.812	0.1330	0.1330	128	TWOPULSE-4	n/a	28	n/a	temporalpattern
59.096	0.1330	0.0330	126	TWOPULSE-2	n/a	24	n/a	temporalpattern
60.529	0.1330	0.0170	125	TWOPULSE-1	n/a	21	n/a	temporalpattern
61.779	0.1330	0.5330	130	TWOPULSE-6	n/a	36	n/a	temporalpattern
63.147	0.0330	0.0000	120	ONEPULSE-2	n/a	4	n/a	temporalpattern
64.596	0.0330	0.0000	120	ONEPULSE-2	n/a	5	n/a	temporalpattern
